geo_point_2d;geo_shape;objid;id_entsorg;kategorie;name;beschreibu;adresse;plz;ortschaft;telefon;www_link;oeffnungsz;zustaendig
47.5608627177, 7.59084972119;"{""type"": ""Point"", ""coordinates"": [7.590849721194495, 47.56086271773645]}";59;4009;Brillen;McOptik (Schweiz) AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Greifengasse 1;4058;Basel;+41 (0) 61 692 04 55;;;Amt für Umwelt und Energie Basel-Stadt
47.5573895018, 7.58863028672;"{""type"": ""Point"", ""coordinates"": [7.588630286723601, 47.5573895017677]}";60;4008;Brillen;Kochoptik AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Freie Strasse 8;4001;Basel;+41 (0) 61 272 49 70;;;Amt für Umwelt und Energie Basel-Stadt
47.5567220636, 7.58729980892;"{""type"": ""Point"", ""coordinates"": [7.58729980891854, 47.5567220635565]}";61;4007;Brillen;Iseli Optik AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Rümelinsplatz 13;4001;Basel;+41 (0) 61 261 61 40;;;Amt für Umwelt und Energie Basel-Stadt
47.5421581322, 7.59706461194;"{""type"": ""Point"", ""coordinates"": [7.59706461193924, 47.542158132220784]}";66;4002;Brillen;Aebischer Optik AG;Tragbare Brillen, gut erhaltene Brillengläser + Brillengestelle ohne Gläser / keine Rücknahmepflicht;Güterstrasse 247;4053;Basel;+41 (0) 61 331 26 86;;;Amt für Umwelt und Energie Basel-Stadt
47.5624284354, 7.59638786854;"{""type"": ""Point"", ""coordinates"": [7.596387868537831, 47.562428435447444]}";69;15006;Verkauf Chipkarte Bio Klappe Basel;St. Clara-Apotheke;Verkauf und Aufladung von Chipkarten für die Bio-Klappen / MO-FR 7.30-18.30 / SA 7.30-17;Clarastrasse 22;4058;Basel;+41 (0) 58 878 82 30;;;Amt für Umwelt und Energie Basel-Stadt
47.5436211806, 7.59207650804;"{""type"": ""Point"", ""coordinates"": [7.592076508038567, 47.54362118055534]}";73;15003;Verkauf Chipkarte Bio Klappe Basel;Gudelitor Aphotheke und Drogerie Wenger GmbH;Verkauf und Aufladung von Chipkarten für die Bio-Klappen / MO-FR 8-19 / SA 8-18;Güterstrasse 180;4053;Basel;+41 (0) 61 365 90 80;;;Amt für Umwelt und Energie Basel-Stadt
47.5403463297, 7.60256602291;"{""type"": ""Point"", ""coordinates"": [7.602566022910803, 47.54034632965554]}";77;5000;Druckertankstelle;Drucker Tankstelle Basel GmbH;Druckerpatronen werden wieder aufgefüllt;Güterstrasse 320;4053;Basel;+41 (0) 61 462 45 69;http://www.drucker-tankstelle.ch;;Amt für Umwelt und Energie Basel-Stadt
47.5733464533, 7.56873050424;"{""type"": ""Point"", ""coordinates"": [7.568730504243675, 47.573346453264584]}";78;6000;Kehrichtverbrennung;KVA-Basel;Diverse brennbare Abfälle in grossen Mengen sowie Sonderabfälle;Hagenaustrasse 40;4056;Basel;+41 (0) 61 385 15 15;www.iwb.ch/Ueber-uns/Kehrichtverwertung.html;Mo-Fr: 06:30-17:00;Tiefbauamt Basel-Stadt
47.5437303973, 7.59463253577;"{""type"": ""Point"", ""coordinates"": [7.594632535773004, 47.54373039726523]}";81;7013;Kleider und Textilien;Rotes Kreuz;Kleiderannahme mit Einwurf;Bruderholzstrasse 20;4053;Basel;+41 (0) 61 319 56 70;;;Amt für Umwelt und Energie Basel-Stadt
47.5547874229, 7.58958639456;"{""type"": ""Point"", ""coordinates"": [7.589586394557885, 47.55478742287613]}";88;7021;Kleider und Textilien;Flohmarkt Barfüsserplatz;Jeweils am 2. und 4. Mittwoch im Monat, von 07.00 - 19.00 Uhr / Anmeldung obligatorisch;Barfüsserplatz;4051;Basel;+41 (0) 61 267 70 43;http://www.messen-maerkte.bs.ch/flohmarkt.htm;;Amt für Umwelt und Energie Basel-Stadt
47.5442777963, 7.5883863666;"{""type"": ""Point"", ""coordinates"": [7.588386366597235, 47.54427779631536]}";93;7016;Kleider und Textilien;Zweifach;Secondhand Shop / Kleider und Velo;Sempacherstrasse 17;4053;Basel;+41 (0) 61 363 39 39;;;Amt für Umwelt und Energie Basel-Stadt
47.5567363489, 7.57185742331;"{""type"": ""Point"", ""coordinates"": [7.571857423309392, 47.556736348921284]}";96;7012;Kleider und Textilien;Kleiderbügel;Secondhand Shop;Allschwilerstrasse 50;4055;Basel;+41 (0) 61 301 47 74;;;Amt für Umwelt und Energie Basel-Stadt
47.5687734816, 7.59025842507;"{""type"": ""Point"", ""coordinates"": [7.590258425069846, 47.56877348156528]}";97;7011;Kleider und Textilien;HIOB International;Secondhand Shop, Brockenhaus;Klybeckstrasse 91;4057;Basel;+41 (0) 61 683 23 60;;;Amt für Umwelt und Energie Basel-Stadt
47.5587642807, 7.57955674062;"{""type"": ""Point"", ""coordinates"": [7.579556740621112, 47.55876428068918]}";99;7009;Kleider und Textilien;Freivogel Silvia;Secondhand Shop / Designer Second Hand;Missionsstrasse 15;4055;Basel;+41 (0) 61 261 29 72;;;Amt für Umwelt und Energie Basel-Stadt
47.5700273642, 7.5784779602;"{""type"": ""Point"", ""coordinates"": [7.578477960201026, 47.57002736416302]}";106;7002;Kleider und Textilien;Art-Johann;Secondhand Shop, Kleiderbörse, Boutique;St. Johanns-Vorstadt 74;4056;Basel;+41 (0) 61 556 40 20;;;Amt für Umwelt und Energie Basel-Stadt
47.5408924153, 7.59527837634;"{""type"": ""Point"", ""coordinates"": [7.595278376336206, 47.54089241530055]}";107;7001;Kleider und Textilien;Anna-Bella;Secondhand Shop / Second-Hand Kleider;J. J. Balmer-Strasse 1;4053;Basel;+41 (0) 61 312 19 82;;;Amt für Umwelt und Energie Basel-Stadt
47.5665535415, 7.59186667392;"{""type"": ""Point"", ""coordinates"": [7.591866673917391, 47.56655354147566]}";108;7000;Kleider und Textilien;Anna Brockenhaus;Secondhand Shop, Brockenhaus;Feldbergstrasse 63;4057;Basel;+41 (0) 61 681 55 36;;;Amt für Umwelt und Energie Basel-Stadt
